category_path,cat_leaf,cat_depth,cat_l1,cat_l2,cat_l3,cat_l4,cat_l5,cat_l6,cat_l7,category_key
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CoolingPads|CoolingPads,CoolingPads,5,Computers&Accessories,Accessories&Peripherals,LaptopAccessories,CoolingPads,,,,148
Electronics|WearableTechnology|SmartWatches|SmartWatches,SmartWatches,4,Electronics,WearableTechnology,SmartWatches,,,,,149
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|IroningAccessories|SprayBottles|SprayBottles,SprayBottles,6,Home&Kitchen,HomeStorage&Organization,LaundryOrganization,IroningAccessories,SprayBottles,,,150
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales|DigitalScales|DigitalScales,DigitalScales,6,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,DigitalKitchenScales,DigitalScales,,,151
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBags|LaundryBags,LaundryBags,5,Home&Kitchen,HomeStorage&Organization,LaundryOrganization,LaundryBags,,,,152
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions|SmartTelevisions",SmartTelevisions,5,Electronics,"HomeTheater,TV&Video",Televisions,SmartTelevisions,,,,153
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingKeyboards|GamingKeyboards,GamingKeyboards,5,Computers&Accessories,Accessories&Peripherals,PCGamingPeripherals,GamingKeyboards,,,,154
"Electronics|Headphones,Earbuds&Accessories|Headphones|Over-Ear|Over-Ear",Over-Ear,5,Electronics,"Headphones,Earbuds&Accessories",Headphones,Over-Ear,,,,155
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors|CableConnectionProtectors,CableConnectionProtectors,5,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,CableConnectionProtectors,,,,156
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopAccessories,LaptopAccessories,4,Computers&Accessories,Accessories&Peripherals,LaptopAccessories,,,,,157
Home&Kitchen|Kitchen&HomeAppliances|SewingMachines&Accessories|Sewing&EmbroideryMachines|Sewing&EmbroideryMachines,Sewing&EmbroideryMachines,5,Home&Kitchen,Kitchen&HomeAppliances,SewingMachines&Accessories,Sewing&EmbroideryMachines,,,,158
Electronics|Cameras&Photography|Accessories|PhotoStudio&Lighting|PhotoBackgroundAccessories|BackgroundSupports|BackgroundSupports,BackgroundSupports,7,Electronics,Cameras&Photography,Accessories,PhotoStudio&Lighting,PhotoBackgroundAccessories,BackgroundSupports,,159
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeePresses|CoffeePresses",CoffeePresses,5,Home&Kitchen,Kitchen&HomeAppliances,"Coffee,Tea&Espresso",CoffeePresses,,,,160
"Electronics|HomeTheater,TV&Video|Projectors|Projectors",Projectors,4,Electronics,"HomeTheater,TV&Video",Projectors,,,,,161
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|TripodLegs|TripodLegs,TripodLegs,6,Electronics,Cameras&Photography,Accessories,Tripods&Monopods,TripodLegs,,,162
"Electronics|Headphones,Earbuds&Accessories|Adapters|Adapters",Adapters,4,Electronics,"Headphones,Earbuds&Accessories",Adapters,,,,,163
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CameraPrivacyCovers|CameraPrivacyCovers,CameraPrivacyCovers,5,Computers&Accessories,Accessories&Peripherals,LaptopAccessories,CameraPrivacyCovers,,,,164
Computers&Accessories|Components|Memory|Memory,Memory,4,Computers&Accessories,Components,Memory,,,,,165
Electronics|HomeAudio|Speakers|SoundbarSpeakers|SoundbarSpeakers,SoundbarSpeakers,5,Electronics,HomeAudio,Speakers,SoundbarSpeakers,,,,166
Electronics|Cameras&Photography|VideoCameras|VideoCameras,VideoCameras,4,Electronics,Cameras&Photography,VideoCameras,,,,,167
Computers&Accessories|NetworkingDevices|NetworkAdapters|PowerLANAdapters|PowerLANAdapters,PowerLANAdapters,5,Computers&Accessories,NetworkingDevices,NetworkAdapters,PowerLANAdapters,,,,168
Computers&Accessories|ExternalDevices&DataStorage|ExternalSolidStateDrives|ExternalSolidStateDrives,ExternalSolidStateDrives,4,Computers&Accessories,ExternalDevices&DataStorage,ExternalSolidStateDrives,,,,,169
